series_id,fund_name,registrant,adviser,tickers,first_year,last_year,years,fund_of_funds,net_assets_last,terminated,type,transparent,confidence,note
S000033062,SPDR SSGA Global Allocation ETF,SSGA Active Trust,,GAL,2018,2025,8,Y,241865604.37076923,,allocation_fof,Y,high,SSGA global allocation; FoF
S000033064,SPDR Blackstone Senior Loan ETF,SSGA Active Trust,,SRLN,2018,2025,8,,7264800598.82,,fixed_income,Y,high,senior loan
S000033233,PIMCO Active Bond Exchange-Traded Fund,PIMCO ETF Trust,,BOND,2018,2025,8,Y,5191634487.16,,fixed_income,Y,high,PIMCO active bond
S000033458,First Trust North American Energy Infrastructure Fund,First Trust Exchange-Traded Fund IV,,EMLP,2018,2025,8,,3186251457.58,,equity_longonly,Y,high,energy infrastructure/MLP equity
S000033843,WisdomTree Emerging Markets Corporate Bond Fund,WisdomTree Trust,,EMCB,2018,2025,8,,71151499,,fixed_income,Y,high,WisdomTree; EM corporate bond
S000034146,First Trust Senior Loan Fund,First Trust Exchange-Traded Fund IV,,FTSL,2018,2025,8,,2337990429.69,,fixed_income,Y,high,senior loans
S000034456,AdvisorShares STAR Global Buy-Write ETF,AdvisorShares Trust,,VEGA,2018,2025,8,Y,63852633,,equity_options,Y,medium,global buy-write; FoF=Y
S000034980,First Trust Preferred Securities and Income ETF,First Trust Exchange-Traded Fund III,,FPE,2018,2025,8,,5876401371.07,,fixed_income,Y,high,preferreds
S000035596,FlexShares Ultra-Short Income Fund,FlexShares Trust,,RAVI,2018,2025,8,,1260991170.91,,fixed_income,Y,high,ultra-short income
S000036005,iShares Frontier and Select EM ETF,"iShares, Inc.",,FM,2023,2024,2,,451372292.57692307,,equity_longonly,Y,high,iShares; frontier/EM equities
S000036643,Invesco S&P 500 Downside Hedged ETF,Invesco Actively Managed Exchange-Traded Fund Trust,,PHDG,2018,2025,8,,97702551.91666667,,equity_longshort,Y,medium,S&P 500 with dynamic VIX futures hedge
S000037042,iShares Short Duration Bond Active ETF,iShares U.S. ETF Trust,,NEAR,2018,2025,8,,3261463798.75153846,,fixed_income,Y,high,short duration bond
S000037634,Cambria Shareholder Yield ETF,Cambria ETF Trust,,SYLD,2021,2025,5,,1203993499,,equity_longonly,Y,high,shareholder yield equity
S000037635,Cambria Foreign Shareholder Yield ETF,Cambria ETF Trust,,FYLD,2021,2025,5,,315987630,,equity_longonly,Y,high,Cambria; shareholder yield equities
S000037636,Cambria Emerging Shareholder Yield ETF,Cambria ETF Trust,,EYLD,2021,2025,5,,456472549,,equity_longonly,Y,high,Cambria; shareholder yield equity
S000037848,First Trust Managed Futures Strategy Fund,First Trust Exchange-Traded Fund V,,FMF,2018,2025,8,,170543146.77,,commodity_futures,Y,high,managed futures
S000037977,PIMCO Enhanced Low Duration Active Exchange-Traded Fund,PIMCO ETF Trust,,LDUR,2018,2025,8,,865214234.46,,fixed_income,Y,high,PIMCO low duration
S000038247,AdvisorShares Newfleet Multi-Sector Income ETF,AdvisorShares Trust,,MINC,2018,2023,6,,37782017,,fixed_income,Y,high,multi-sector income
S000038607,SPDR SSGA Ultra Short Term Bond ETF,SSGA Active Trust,,ULST,2018,2025,8,,582158330.95076923,,fixed_income,Y,high,ultra short bond
S000039493,First Trust Tactical High Yield ETF,First Trust Exchange-Traded Fund IV,,HYLS,2018,2025,8,,1669121317.6,,fixed_income,Y,high,First Trust tactical high yield
S000039654,First Trust Global Tactical Commodity Strategy Fund,FIRST TRUST EXCHANGE-TRADED FUND VII,,FTGC,2018,2025,8,,2269868400.22,,commodity_futures,Y,high,tactical commodity futures
S000039806,AdvisorShares North Square McKee Core Reserves ETF,AdvisorShares Trust,,HOLD,2018,2022,5,,38085605,,fixed_income,Y,high,core reserves; ultra short
S000040073,SPDR MFS Systematic Core Equity ETF,SSGA Active Trust,,SYE,2018,2020,3,,34343778.25,,equity_longonly,Y,high,MFS systematic equity
S000040074,SPDR MFS Systematic Growth Equity ETF,SSGA Active Trust,,SYG,2018,2020,3,,36724670.83,,equity_longonly,Y,high,MFS systematic equity
S000040075,SPDR MFS Systematic Value Equity ETF,SSGA Active Trust,,SYV,2018,2020,3,,30037972.39,,equity_longonly,Y,high,MFS systematic equity
S000040302,First Trust BuyWrite Income ETF,First Trust Exchange-Traded Fund VI,,FTHI,2018,2025,7,,1436582018.2,,equity_options,Y,high,BuyWrite
S000040305,First Trust Nasdaq BuyWrite Income ETF,First Trust Exchange-Traded Fund VI,,FTQI,2018,2025,7,,650240308.29,,equity_options,Y,high,Nasdaq BuyWrite
S000040431,Fidelity Corporate Bond ETF,Fidelity Merrimack Street Trust,,FCOR,2018,2025,8,,245670002,,fixed_income,Y,high,Fidelity; corporate bond
S000040474,iShares Ultra Short Duration Bond Active ETF,iShares U.S. ETF Trust,,ICSH,2018,2025,8,,5838396060.82538461,,fixed_income,Y,high,iShares ultra short bond
S000040579,Franklin Short Duration U.S. Government ETF,Franklin ETF Trust,,FTSD,2019,2026,8,,246885468.42,,fixed_income,Y,high,short duration govt
S000041431,WisdomTree Emerging Markets Consumer Growth Fund,WisdomTree Trust,,EMCG,2019,2020,2,,35236631.98,,equity_longonly,Y,high,WisdomTree; EM consumer equity
S000041433,WisdomTree Emerging Markets Quality Dividend Growth Fund,WisdomTree Trust,,DGRE,2019,2026,8,,133886750,,equity_longonly,Y,high,WisdomTree; dividend growth equity
S000041726,Arrow DWA Tactical: Macro ETF,ARROW INVESTMENTS TRUST,,DWAT,2018,2024,7,Y,2901404.84355191,,allocation_fof,Y,medium,FoF flag; DWA tactical multi-asset ETF rotation
S000041784,Renaissance IPO ETF,RENAISSANCE CAPITAL GREENWICH FUNDS,,IPO,2018,2024,7,,173943865.98,,equity_longonly,Y,high,IPO equity basket
S000041848,ProShares CDS Short North American HY Credit ETF,ProShares Trust,,WYDE,2019,2019,1,,5768832.09,,fixed_income,Y,medium,short CDS high yield credit
S000042567,Fidelity Total Bond ETF,Fidelity Merrimack Street Trust,,FBND,2018,2025,8,,17160131574,,fixed_income,Y,high,Fidelity; total bond (bond ETFs transparent)
S000042569,Fidelity Limited Term Bond ETF,Fidelity Merrimack Street Trust,,FLTB,2018,2025,8,,205448871,,fixed_income,Y,high,Fidelity; limited term bond
S000042584,Hull Tactical US ETF,EXCHANGE TRADED CONCEPTS TRUST,,HTUS,2019,2022,4,Y,24544110.16,,allocation_fof,Y,medium,Hull tactical S&P timing via ETFs/futures; FoF flag
S000042798,ProShares Investment Grade-Interest Rate Hedged,ProShares Trust,,IGHG,2019,2019,1,,451165884.01,,fixed_income,Y,high,"IG credit, rate hedged"
S000042862,iShares Interest Rate Hedged Corporate Bond ETF,iShares U.S. ETF Trust,,LQDH,2018,2021,4,Y,554170736.2284615,,fixed_income,Y,high,rate-hedged IG credit; fof flag = holds LQD + swaps
S000042863,iShares Interest Rate Hedged High Yield Bond ETF,iShares U.S. ETF Trust,,HYGH,2018,2021,4,Y,92863265.2676923,,fixed_income,Y,high,rate-hedged high yield; FoF flag
S000042975,ARK Genomic Revolution ETF,ARK ETF Trust,,ARKG,2018,2025,8,,1154536652,,equity_longonly,Y,high,ARK thematic equity
S000042976,ARK Autonomous Technology & Robotics ETF,ARK ETF Trust,,ARKQ,2018,2025,8,,915957738,,equity_longonly,Y,high,ARK thematic equity
S000042977,ARK Innovation ETF,ARK ETF Trust,,ARKK,2018,2025,8,,6101973256,,equity_longonly,Y,high,ARK thematic equity
S000042978,ARK Next Generation Internet ETF,ARK ETF Trust,,ARKW,2018,2025,8,,1686182550,,equity_longonly,Y,medium,"ARK thematic equity, some crypto ETP sleeve"
S000042991,WisdomTree Bloomberg U.S. Dollar Bullish Fund,WisdomTree Trust,,USDU,2018,2025,8,,212036440,,other,Y,high,currency (USD bullish)
S000043316,Cambria Global Momentum ETF,Cambria ETF Trust,,GMOM,2019,2025,7,,116919230,,allocation_fof,Y,high,Cambria global momentum; ETF-of-ETFs
S000043317,Cambria Global Value ETF,Cambria ETF Trust,,GVAL,2021,2025,5,,107348190,,equity_longonly,Y,high,Cambria global value equities
S000043318,Cambria Global Tail Risk ETF,Cambria ETF Trust,,FAIL,2019,2024,6,,3242237,,equity_options,Y,medium,Cambria tail risk: treasuries + index puts
S000043319,Cambria Value and Momentum ETF,Cambria ETF Trust,,VAMO,2019,2025,7,,54248219,,equity_longonly,Y,medium,value+momentum stocks; discretionary hedge; looked up
S000043912,Reality Shares DIVS ETF,Reality Shares ETF Trust,,DIVY,2018,2019,2,,69082801,,other,Y,low,"Reality Shares dividend-swap strategy, not a stock book"
S000044020,Cohen & Steers Preferred and Income Opportunities Active ETF,Cohen & Steers ETF Trust,,CSPF,2025,2026,2,,72868236.55076923,,fixed_income,Y,high,preferreds
S000044089,Invesco Multi-Strategy Alternative ETF,Invesco Actively Managed Exchange-Traded Fund Trust,,LALT,2018,2018,1,,4356847.42333333,,other,Y,low,multi-strategy alternative
S000044145,iShares Interest Rate Hedged Long-Term Corporate Bond ETF,iShares U.S. ETF Trust,,IGBH,2018,2021,4,Y,706468231.7753847,,fixed_income,Y,high,rate-hedged corporate bond
S000044146,iShares Interest Rate Hedged Emerging Markets Bond ETF,iShares U.S. ETF Trust,,EMBH,2018,2021,4,Y,6471954.94615384,,fixed_income,Y,high,rate-hedged EM bond; FoF flag
S000044175,WBI BullBear Rising Income 2000 ETF,Absolute Shares Trust,,WBIA,2018,2019,2,Y,37784587.224,,equity_longonly,Y,low,WBI stock selection with cash de-risk; N-CEN FoF=Y
S000044176,WBI BullBear Global High Income ETF,Absolute Shares Trust,,WBIH,2018,2018,1,Y,273726115.45,,allocation_fof,Y,low,WBI global income ETF-of-ETFs; FoF=Y
S000044177,WBI BullBear Value 2000 ETF,Absolute Shares Trust,,WBIB,2018,2019,2,Y,35984058.275,,equity_longonly,Y,low,WBI stock selection with cash de-risk; N-CEN FoF=Y
S000044178,WBI BullBear Yield 2000 ETF,Absolute Shares Trust,,WBIC,2018,2019,2,Y,59739886.522,,equity_longonly,Y,low,WBI stock selection with cash de-risk; N-CEN FoF=Y
S000044179,WBI BullBear Quality 2000 ETF,Absolute Shares Trust,,WBID,2018,2019,2,Y,31233405.846,,equity_longonly,Y,low,WBI stock selection with cash de-risk; N-CEN FoF=Y
S000044180,WBI BullBear Rising Income 3000 ETF,Absolute Shares Trust,,WBIE,2018,2020,3,Y,52110623,,equity_longonly,Y,low,WBI stock selection with cash de-risk; N-CEN FoF=Y
S000044181,WBI BullBear Value 3000 ETF,Absolute Shares Trust,,WBIF,2018,2025,8,Y,31244802.47,,equity_longonly,Y,low,WBI stock selection with cash de-risk; N-CEN FoF=Y
S000044182,WBI BullBear Yield 3000 ETF,Absolute Shares Trust,,WBIG,2018,2025,8,Y,39141378.07,,equity_longonly,Y,low,WBI stock selection with cash de-risk; N-CEN FoF=Y
S000044183,WBI BullBear Quality 3000 ETF,Absolute Shares Trust,,WBIL,2018,2025,8,Y,37210201.33,,equity_longonly,Y,low,WBI stock selection with cash de-risk; N-CEN FoF=Y
S000044184,WBI BullBear Global Income ETF,Absolute Shares Trust,,WBII,2018,2023,6,Y,40242871,,allocation_fof,Y,low,WBI global income ETF-of-ETFs; FoF=Y
S000044373,First Trust Managed Municipal ETF,First Trust Exchange-Traded Fund III,,FMB,2018,2025,8,,1953240601.18,,fixed_income,Y,high,First Trust; muni
S000044509,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,Invesco Actively Managed Exchange-Traded Commodity Fund Trust,,PDBC,2018,2025,8,,4459799606.085,,commodity_futures,Y,high,"diversified commodity futures, no K-1"
S000044971,iShares Commodities Select Strategy ETF,iShares U.S. ETF Trust,,COMT,2018,2020,3,,296294404.79,,commodity_futures,Y,high,commodity strategy
S000045418,InfraCap MLP ETF,ETFis Series Trust I,,AMZA,2018,2025,8,,414862420,,equity_longonly,Y,medium,"MLP equity, leverage + options overlay"
S000045700,First Trust Long/Short Equity ETF,First Trust Exchange-Traded Fund III,,FTLS,2018,2025,8,,1894171613.54,,equity_longshort,Y,high,long/short equity
S000045797,First Trust Enhanced Short Maturity ETF,First Trust Exchange-Traded Fund IV,,FTSM,2018,2025,8,,6256182677.02,,fixed_income,Y,high,enhanced short maturity
S000045833,AdvisorShares Pacific Asset Enhanced Floating Rate ETF,AdvisorShares Trust,,FLRT,2018,2019,2,,29189534,,fixed_income,Y,high,AdvisorShares; floating rate
S000046016,Alpha Architect US Quantitative Value ETF,EA Series Trust,,QVAL,2022,2024,3,,320932716.65,,equity_longonly,Y,high,Alpha Architect quant value equity
S000046017,Alpha Architect International Quantitative Value ETF,EA Series Trust,,IVAL,2022,2024,3,,149666737.55,,equity_longonly,Y,high,Alpha Architect value equity
S000046018,Alpha Architect US Quantitative Momentum ETF,EA Series Trust,,QMOM,2022,2024,3,,197660650.75,,equity_longonly,Y,high,Alpha Architect quant momentum equity
S000046019,Alpha Architect International Quantitative Momentum ETF,EA Series Trust,,IMOM,2022,2024,3,,78946331.72,,equity_longonly,Y,high,Alpha Architect momentum equity
S000046109,First Trust High Income Strategic Focus ETF,First Trust Exchange-Traded Fund IV,,HISF,2018,2025,8,,48106834.25,,fixed_income,Y,medium,First Trust income FoF of bond ETFs
S000046204,First Trust Low Duration Opportunities ETF,First Trust Exchange-Traded Fund IV,,LMBS,2018,2025,8,,4988519066.6,,fixed_income,Y,high,First Trust mortgage/low duration
S000046314,SPDR DoubleLine Total Return Tactical ETF,SSGA Active Trust,,TOTL,2018,2025,8,,3371652119.16538461,,fixed_income,Y,high,DoubleLine total return bond
S000046484,PIMCO Senior Loan Active Exchange-Traded Fund,PIMCO ETF Trust,,LONZ,2022,2025,4,,750371993.3,,fixed_income,Y,high,PIMCO senior loans
S000046751,First Trust Emerging Markets Local Currency Bond ETF,First Trust Exchange-Traded Fund III,,FEMB,2018,2025,8,,188113055.6,,fixed_income,Y,high,First Trust; EM local currency bond
S000046801,Vident U.S. Bond Strategy ETF,ETF Series Solutions,,VBND,2025,2025,1,,453307208,,fixed_income,Y,high,bond strategy
S000046875,Renaissance International IPO ETF,RENAISSANCE CAPITAL GREENWICH FUNDS,,IPOS,2018,2024,7,,5242089.07692307,,equity_longonly,Y,high,IPO equity basket
S000046943,Eaton Vance Global Income Builder NextShares,Eaton Vance NextShares Trust,,EVGBC,2018,2022,5,,1071821.98615384,,allocation_fof,N,medium,NextShares; multi-asset income builder
S000046947,Eaton Vance Stock NextShares,Eaton Vance NextShares Trust,,EVSTC,2018,2021,4,,6716870.96230769,,equity_longonly,N,high,Eaton Vance NextShares stock fund
S000046960,Eaton Vance Floating-Rate NextShares,Eaton Vance NextShares Trust II,,EVFTC,2018,2018,1,,4914333.98,,fixed_income,N,high,Eaton Vance NextShares non-transparent
S000046964,Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond NextShares,Eaton Vance NextShares Trust II,,EVLMC,2019,2022,4,,5611187.5976923,,fixed_income,N,high,Eaton Vance NextShares muni
S000047227,iShares MSCI Russia ETF,"iShares, Inc.",,ERUS,2022,2022,1,,278775910.9876923,,equity_longonly,Y,high,Russia equity
S000047294,Cambria Global Asset Allocation ETF,Cambria ETF Trust,,GAA,2019,2025,7,,54604092,,allocation_fof,Y,high,Cambria; global asset allocation ETF-of-ETFs
S000047352,iShares Short Maturity Municipal Bond Active ETF,iShares U.S. ETF Trust,,MEAR,2018,2025,8,,985034627.75,05/2024,fixed_income,Y,high,short maturity municipal
S000048895,Virtus Newfleet Multi-Sector Bond ETF,ETFis Series Trust I,,NFLT,2018,2025,8,,254316448,,fixed_income,Y,high,multi-sector bond
S000049009,AlphaMark Actively Managed Small Cap ETF,ETF Series Solutions,,SMCP,2019,2024,6,Y,26175398.94,,equity_longonly,Y,medium,active small cap; fof flag incidental
S000049047,Principal Active High Yield ETF,Principal Exchange-Traded Funds,,YLD,2018,2025,8,,267344858.35846153,,fixed_income,Y,high,active high yield
S000049397,Virtus Reaves Utilities ETF,ETFis Series Trust I,,UTES,2018,2025,8,,351927617,,equity_longonly,Y,high,utilities equity
S000050303,Virtus Cumberland Municipal Bond ETF,ETFis Series Trust I,,CUMB,2018,2018,1,,14279444,,fixed_income,Y,high,muni
S000050640,First Trust SSI Strategic Convertible Securities ETF,First Trust Exchange-Traded Fund IV,,FCVT,2018,2025,8,,86854077.85,,fixed_income,Y,high,convertible securities
S000051124,ProShares Managed Futures Strategy ETF,ProShares Trust,,FUT,2019,2021,3,,4646556.55999999,,commodity_futures,Y,high,ProShares managed futures
S000051544,WBI BullBear Global Rotation ETF,Absolute Shares Trust,,WBIR,2018,2018,1,Y,20339785.252,,allocation_fof,Y,low,WBI global rotation ETF-of-ETFs; FoF=Y
S000051570,Virtus Newfleet Short Duration High Yield Bond ETF,Virtus ETF Trust II,,VSHY,2018,2025,8,,16878215,,fixed_income,Y,high,short duration high yield
S000051581,First Trust Heitman Global Prime Real Estate ETF,First Trust Exchange-Traded Fund IV,,PRME,2018,2018,1,,1160667.47,,equity_longonly,Y,medium,global real estate equities / REITs
S000051606,First Trust Municipal High Income ETF,First Trust Exchange-Traded Fund III,,FMHI,2018,2025,8,,744837005.54,,fixed_income,Y,high,First Trust; muni high income
S000051618,RiverFront Dynamic Unconstrained Income ETF,ALPS ETF Trust,,RFUN,2018,2020,3,,13682516.24,,fixed_income,Y,high,unconstrained income bonds
S000051619,RiverFront Dynamic Core Income ETF,ALPS ETF Trust,,RFCI,2018,2025,8,,20405832,,fixed_income,Y,high,core income bonds
S000051678,Invesco Variable Rate Investment Grade ETF,Invesco Actively Managed Exchange-Traded Fund Trust,,VRIG,2018,2025,8,,1240289434.23083333,,fixed_income,Y,high,variable rate investment grade
S000052162,SPDR DoubleLine Short Duration Total Return Tactical ETF,SSGA Active Trust,,STOT,2018,2025,8,,183411864.70615384,,fixed_income,Y,high,short duration total return
S000052163,SPDR DoubleLine Emerging Markets Fixed Income ETF,SSGA Active Trust,,EMTL,2018,2025,8,,91565343.87230769,,fixed_income,Y,high,SPDR DoubleLine; EM fixed income
S000052355,WisdomTree Japan Multifactor Fund,WisdomTree Trust,,JAMF,2019,2019,1,,2479297.56,,equity_longonly,Y,high,multifactor equity
S000052357,WisdomTree Europe Multifactor Fund,WisdomTree Trust,,EUMF,2019,2019,1,,14192961.54,,equity_longonly,Y,high,WisdomTree; Europe multifactor
S000052563,Janus Henderson Small Cap Growth Alpha ETF,Janus Detroit Street Trust,,JSML,2025,2025,1,,221158155.04,,equity_longonly,Y,high,small cap growth
S000052564,Janus Henderson Small/Mid Cap Growth Alpha ETF,Janus Detroit Street Trust,,JSMD,2025,2025,1,,516383565.02,,equity_longonly,Y,high,small/mid growth
S000052735,First Trust RiverFront Dynamic Asia Pacific ETF,First Trust Exchange-Traded Fund III,,RFAP,2018,2020,3,,14827147.81,,equity_longonly,Y,high,RiverFront regional equity
S000052736,First Trust RiverFront Dynamic Developed International ETF,First Trust Exchange-Traded Fund III,,RFDI,2018,2025,8,,117593945.37,,equity_longonly,Y,high,RiverFront regional equity
S000052737,First Trust RiverFront Dynamic Emerging Markets ETF,First Trust Exchange-Traded Fund III,,RFEM,2018,2025,8,,34236821.94,,equity_longonly,Y,high,RiverFront regional equity
S000052738,First Trust RiverFront Dynamic Europe ETF,First Trust Exchange-Traded Fund III,,RFEU,2018,2025,8,,6606684.41,,equity_longonly,Y,high,RiverFront regional equity
S000052852,RiverFront Dynamic US Dividend Advantage ETF,ALPS ETF Trust,,RFDA,2018,2025,8,,78995567,,equity_longonly,Y,high,RiverFront dividend equity
S000052853,ALPS Active Equity Opportunity ETF,ALPS ETF Trust,,RFFC,2018,2025,8,,24295156,,equity_longonly,Y,high,ALPS active equity
S000052929,Principal Quality ETF,Principal Exchange-Traded Funds,,PSET,2023,2025,3,,55885011.10692307,,equity_longonly,Y,high,quality factor equity
S000052930,Principal Value ETF,Principal Exchange-Traded Funds,,PY,2023,2025,3,,149334624.49615384,,equity_longonly,Y,high,value factor equity
S000052985,JPMorgan Diversified Alternatives ETF,J.P. Morgan Exchange-Traded Fund Trust,,JPHF,2018,2019,2,,160681692.38,,equity_longshort,Y,medium,"diversified alternatives, L/S core"
S000053369,WisdomTree Emerging Markets ESG Fund,WisdomTree Trust,,RESE,2020,2023,4,,24516560.82538461,,equity_longonly,Y,high,WisdomTree ESG equity
S000053430,AdvisorShares Cornerstone Small Cap ETF,AdvisorShares Trust,,SCAP,2018,2019,2,,4998846,,equity_longonly,Y,high,AdvisorShares small cap
S000053488,First Trust Alternative Absolute Return Strategy ETF,FIRST TRUST EXCHANGE-TRADED FUND VII,,FAAR,2018,2025,8,,105240101.29,,commodity_futures,Y,high,First Trust alternative absolute return; commodity futures
S000053774,Franklin Income Equity Focus ETF,Franklin Templeton ETF Trust,,INCE,2019,2026,8,,101516246.8,,equity_options,Y,medium,Franklin income equity w/ covered calls
S000053775,Franklin Investment Grade Corporate ETF,Franklin Templeton ETF Trust,,FLCO,2019,2026,8,,584914988.99,,fixed_income,Y,high,Franklin; IG corporate
S000053776,Franklin Liberty International Opportunities ETF,Franklin Templeton ETF Trust,,FLIO,2019,2019,1,,9924717.16,,equity_longonly,Y,high,Franklin; intl equity
S000053955,Natixis Seeyond International Minimum Volatility ETF,Natixis ETF Trust,,MVIN,2018,2019,2,,23616064.74,,equity_longonly,Y,medium,Seeyond minimum volatility equity
S000053967,First Trust Income Opportunities ETF,First Trust Exchange-Traded Fund VIII,,FCEF,2018,2025,8,Y,43662371.1,,allocation_fof,Y,medium,fund of closed-end funds; FoF flag
S000053970,First Trust Flexible Municipal High Income ETF,First Trust Exchange-Traded Fund VIII,,MFLX,2018,2025,8,Y,15045091.49,,fixed_income,Y,high,municipal high income; fof flag noted
S000054088,Aptus Drawdown Managed Equity ETF,ETF Series Solutions,,ADME,2020,2025,6,,208263226.71,,equity_options,Y,medium,Aptus equity + option hedge
S000054091,SPDR(R) SSGA U.S. Sector Rotation ETF,SSGA Active Trust,,XLSR,2019,2025,7,Y,649583560.33461538,,allocation_fof,Y,high,SSGA sector rotation ETF-of-ETFs; fof flag
S000054175,AdvisorShares KIM Korea Equity ETF,AdvisorShares Trust,,KOR,2018,2018,1,,10391454,,equity_longonly,Y,high,Korea equity
S000054369,Cambria Tail Risk ETF,Cambria ETF Trust,,TAIL,2019,2025,7,,78156399,,equity_options,Y,high,long index puts plus treasuries
S000054445,Ivy Focused Growth NextShares,Ivy NextShares,,,2018,2020,3,,13621334.15,09/2019,,,,
S000054446,Ivy Focused Value NextShares,Ivy NextShares,,,2018,2020,3,,8653902.18999999,09/2019,,,,
S000054447,Ivy Focused Energy NextShares,Ivy NextShares,,,2018,2020,3,,5249571.53,09/2019,,,,
